Liczba S,Czasy dla poszczegolnych wywolan programu,,,,,Srednia wszystkich wykonan
10,0.000032103,0.000027473,0.000203201,0.000174112,0.000537708,0.0001949194
20,0.000949562,0.000877453,0.001093993,0.001103476,0.001085948,0.0010220864
30,0.018992334,0.01248891,0.017210263,0.012595668,0.012373439,0.014732123
40,0.07719526,0.077003911,0.079406255,0.077274263,0.075471042,0.077270146
50,0.29643367,0.30036019,0.29473573,0.29377926,0.29316186,0.29569414
55,0.58953468,0.57454533,0.56945847,0.55943801,0.56673805,0.57194291
60,0.999694,0.96118898,0.98726426,1.051499,0.9267387,0.98527698
65,1.5542435,1.4969565,1.5510607,1.6034003,1.6561686,1.5723659
70,2.3852417,2.4601232,2.5250384,2.4543848,2.5392028,2.4727982
75,3.829555,3.6737649,3.7265057,3.6792928,3.6621115,3.714246
80,5.4040381,5.7905238,5.5853739,5.9209384,5.7788148,5.6959378
85,8.1936751,7.948868,8.1162412,8.1977727,8.0803685,8.1073851
90,11.203722,10.992328,11.539786,11.234091,11.98466,11.390917
95,16.563034,16.012008,16.522265,16.226673,16.165582,16.297912
100,21.269272,21.630634,25.377084,22.910563,21.269073,22.491325
